	寒山落木　卷一
雪折の竹に乞食のねざめ哉	寒山落木　卷一
白雪におされて月のぼやけ哉	寒山落木　卷一
うらなひの鬚にうちこむ霰哉	寒山落木　卷一
夜廻りの木に打ちこみし霰哉	寒山落木　卷一
三日月を時雨てゐるや沖の隅	寒山落木　卷一
吹付てはては凩の雨もなし	寒山落木　卷一
【乕圖】	寒山落木　卷一
万山の木のはの音や寒の月	寒山落木　卷一
凩や虚空をはしる氣車の音	寒山落木　卷一
かけイ	寒山落木　卷一
牛若の下駄の跡あり橋の霜	寒山落木　卷一
【達磨三味をひく画賛】	寒山落木　卷一
凩に三味も枯木の一ツ哉	寒山落木　卷一
朝霜を洗ひ落せし冬菜哉	寒山落木　卷一
凩や追手も見えすはなれ馬	寒山落木　卷一
新聞で見るや故郷の初しくれ	寒山落木　卷一
時雨るや筧をつたふ山の雲	寒山落木　卷一
冬雜（天文除）	寒山落木　卷一
【高田の馬場にすむ古白のもとを訪ふて】	寒山落木　卷一
日あたりや馬場のあとなる水仙花	寒山落木　卷一
【一月廿二日夜半ふと眼を開けば外月あかし扨は雨戸をや引き忘れけんと思ひて左の句を吟ず翌曉さめて考ふれば前夜の發句は半醒半梦の間に髣髴たり】	寒山落木　卷一
冬籠夜着の袖よりの月	寒山落木　卷一
炭二俵壁にもたせて冬こもり	寒山落木　卷一
【破蕉先生に笑はれて】	寒山落木　卷一
冬こもり小ぜにをかりて笑はるゝ	寒山落木　卷一
鰒汁や髑髏をかざる醫者の家	寒山落木　卷一
骨折て四五輪さきぬ冬のうめ	寒山落木　卷一
茶坐敷の五尺の庭を落葉哉	寒山落木　卷一
籔ごしやはだか參りの鈴冴る	寒山落木　卷一
【不忍池】	寒山落木　卷一
水鳥の中にうきけり天女堂	寒山落木　卷一
冬枯や蛸ぶら下る煮賣茶屋	寒山落木　卷一
ものくはでかうもやせたか鉢敲	寒山落木　卷一
達磨忌や戸棚探れは生海鼠哉	寒山落木　卷一
出つ入つ數定まらぬ小かもかな	寒山落木　卷一
犬張子くづれて出たり煤拂	寒山落木　卷一
鉢叩頭巾をとれははげたりな	寒山落木　卷一
面白うたゝかば泣かん鉢叩	寒山落木　卷一
宵やみに紛れて出たり鉢敲	寒山落木　卷一
森こえて枯野に來るや旅烏	寒山落木　卷一
煤拂のほこりの中やふじの山	寒山落木　卷一
【煙草道具画賛】	寒山落木　卷一
吹きならふ煙の龍や冬こもり	寒山落木　卷一
手の皺を引きのばし見る火鉢哉	寒山落木　卷一
夜著かたくからだにそはぬ寒さ哉	寒山落木　卷一
廿五年終りの冬時節	寒山落木　卷一
いそがしく時計の動く師走哉	寒山落木　卷一
【高尾山〔二句〕】	寒山落木　卷一
凩をぬけ出て山の小春かな	寒山落木　卷一
不二を背に筑波見下す小春哉	寒山落木　卷一
小春日や又この背戸も爺と婆	寒山落木　卷一
冬川の涸れて蛇籠の寒さ哉	寒山落木　卷一
爲朝のお宿と書し寒さ哉	寒山落木　卷一
病人と靜かに語る師走哉	寒山落木　卷一
【松山會】	寒山落木　卷一
行年を故郷人と酌みかはす	寒山落木　卷一
初冬に何の句もなき一日かな	寒山落木　卷一
行年を鐵道馬車に追付ぬ	寒山落木　卷一
返事せぬつんぼのぢゞや神無月	寒山落木　卷一
屋の棟に鳩のならびし小春哉	寒山落木　卷一
御格子に切髮かくる寒さ哉	寒山落木　卷一
馬糞のいきり立たる寒さ哉	寒山落木　卷一
鳥居より内の馬糞や神無月	寒山落木　卷一
馬痩せて鹿に似る頃の寒さ哉	寒山落木　卷一
君が代は大つごもりの月夜哉	寒山落木　卷一
鮭も熊も釣らるゝ師走哉	寒山落木　卷一
魚棚に熊笹青き師走哉	寒山落木　卷一
年の尾や又くりかへすさかさ川	寒山落木　卷一
ありたけの日受を村の冬至哉	寒山落木　卷一
乞食寄る極樂道や小六月	寒山落木　卷一
仰向けぬ入道畠の寒さ哉	寒山落木　卷一
玉川に短き冬の日脚哉	寒山落木　卷一
年のくれ乞食の梦の長閑也	寒山落木　卷一
きぬ／＼にものいひ殘す寒哉	寒山落木　卷一
年のくれ命ばかりの名殘哉	寒山落木　卷一
ぬす人のぬす人とるや年の暮	寒山落木　卷一
白足袋のよごれ盡せし師走哉	寒山落木　卷一
いそがしい中に子を産む師走哉	寒山落木　卷一
羽子板のうらに春來る師走哉	寒山落木　卷一
年の暮月の暮日のくれにけり	寒山落木　卷一
廿五年終りの冬人事器用	寒山落木　卷一
鉢叩雪のふる夜をうかれけり	寒山落木　卷一
【茶店にて】	寒山落木　卷一
穗薄になでへらされし火桶哉	寒山落木　卷一
月花にはげた頭や古頭巾	寒山落木　卷一
炭竈に雀のならぶぬくみかな	寒山落木　卷一
古暦雜用帳にまぎれけり	寒山落木　卷一
きぬ／″＼に寒聲きけは哀れ也	寒山落木　卷一
金杉や二間ならんで冬こもり	寒山落木　卷一
猫老て鼠もとらず置火燵	寒山落木　卷一
君味噌くれ我豆やらん冬こもり	寒山落木　卷一
同じ名のあるじ手代や夷子講	寒山落木　卷一
此度は娵にぬはせじ角頭巾	寒山落木　卷一
【讀書燈】	寒山落木　卷一
古はくらしらんぷの煤拂	寒山落木　卷一
しぐれずに空行く風や神送	寒山落木　卷一
鮭の腹ひや／＼と風の立つ	寒山落木　卷一
節分や親子の年の近うなる	寒山落木　卷一
もうたひ參らす神迎	寒山落木　卷一
達磨忌や混沌として時雨不二	寒山落木　卷一
湯の山や炭賣歸る宵月夜	寒山落木　卷一
節季候の札の辻にて分れけり	寒山落木　卷一
どの馬で神は歸らせたまふらん	寒山落木　卷一
聲や誰れ石投げる石手川	寒山落木　卷一
遠ざかり行く松風や神送り	寒山落木　卷一
【松山】	寒山落木　卷一
掛乞の大街道となりにけり	寒山落木　卷一
塩燒くや煤はくといふ日もなうて	寒山落木　卷一
老が齒や海雲すゝりて冬籠	寒山落木　卷一
冬籠日記に梦を書きつける	寒山落木　卷一
【廓】	寒山落木　卷一
にくらしき客に豆うつねらひ哉	寒山落木　卷一
此頃は聲もかれけり鉢たゝき	寒山落木　卷一
本陣にめして聞かばや鉢叩	寒山落木　卷一
つみあげて庄屋ひれふす年貢哉	寒山落木　卷一
道にこぼるゝ年のみつぎ哉	寒山落木　卷一
ふるまはん深草殿に玉子酒	寒山落木　卷一
臘八のあとにかしましくりすます	寒山落木　卷一
嵐雪の其角におくる紙衣哉	寒山落木　卷一
柊をさす頼朝の心かな	寒山落木　卷一
顏見せやぬす人になる顏はたれ	寒山落木　卷一
常闇を破る神樂の大鼓哉	寒山落木　卷一
榾の火に石版摺のすゝけかな	寒山落木　卷一
すとうぶや上からつゝく煤拂	寒山落木　卷一
初暦めでたくこゝに古暦	寒山落木　卷一
手をちゞめ足をちゝめて冬籠	寒山落木　卷一
貧乏は掛乞も來ぬ火燵哉	寒山落木　卷一
世の中を紙衣一つの輕さかな	寒山落木　卷一
鼻息に飛んでは輕し寶舟	寒山落木　卷一
手と足に蒲團引きあふ宿屋哉	寒山落木　卷一
廿五年終りの冬天文地理	寒山落木　卷一
【鐵眼師によす】	寒山落木　卷一
凩や自在に釜のきしる音	寒山落木　卷一
【寄贈馬骨】	寒山落木　卷一
凩や京にそがひの家かまへ	寒山落木　卷一
【訪愚庵】	寒山落木　卷一
淨林の釜にむかしを時雨けり	寒山落木　卷一
冬の日の二見に近く通りけり	寒山落木　卷一
凩や夜着きて町を通る人	寒山落木　卷一
とりまいて人の火をたく枯野哉	寒山落木　卷一
馬糞も共にやかるゝ枯野哉	寒山落木　卷一
新宿に荷馬ならぶや夕時雨樗堂ノ句荷をつけてしぐるゝ馬や軒の下	寒山落木　卷一
【玉川】	寒山落木　卷一
鮎死て瀬の細りけり冬の川	寒山落木　卷一
冬川の涸れて蛇籠の寒さ哉重出	寒山落木　卷一
吹雪くる夜を禪寺に納豆打ツ	寒山落木　卷一
稻かりて力無き冬の初日哉	寒山落木　卷一
雪の脚寶永山へかゝりけり	寒山落木　卷一
朝霜や藁家ばかりの村一つ	寒山落木　卷一
松杉や枯野の中の不動堂	寒山落木　卷一
色里や時雨きかぬも三年ごし	寒山落木　卷一
夜廻りの鐵棒はしる霰哉	寒山落木　卷一
十一騎面もふらぬ吹雪かな	寒山落木　卷一
誰かある初雪の深さ見て參れ	寒山落木　卷一
【乞食】	寒山落木　卷一
初雪の重さ加減やこもの上	寒山落木　卷一
【石手寺】	寒山落木　卷一
しくるゝや弘法死して一千年	寒山落木　卷一
白きもの又常盤なりふじの雪	寒山落木　卷一
赤煉瓦雪にならびし日比谷哉	寒山落木　卷一
親牛の子牛をねぶる霜夜哉	寒山落木　卷一
しぐるゝやともしにはねる屋根の漏	寒山落木　卷一
灯の青うすいて奧あり藪の雪	寒山落木　卷一
爪琴の下手を上手にしぐれけり	寒山落木　卷一
猪の牙ふりたてる吹雪哉	寒山落木　卷一
岩ふみはづす	寒山落木　卷一
むつかしき姿も見えず雪の松	寒山落木　卷一
くれ竹の雪ひつかつき伏しにけり	寒山落木　卷一
内川や外川かけて夕しぐれ	寒山落木　卷一
興居嶋へ魚舟いそぐ吹雪哉	寒山落木　卷一
瀧壺の渦にはねこむ霰哉	寒山落木　卷一
凩にはひつくばるや土龜山	寒山落木　卷一
引拔た手に霜殘る大根哉	寒山落木　卷一
角池の四隅に殘る氷かな	寒山落木　卷一
月に悲しすぎたり兩大師	寒山落木　卷一
子をかばふ鶴たちまどふ吹雪哉	寒山落木　卷一
浪ぎははさらに横ふくふゞき哉	寒山落木　卷一
初雪の瓦屋よりも藁屋哉	寒山落木　卷一
ふらばふれ雪に鈴鹿の關こえん	寒山落木　卷一
吹雪來んとして鐘冴ゆる嵐哉	寒山落木　卷一
關守の雪に火を燒く鈴鹿哉	寒山落木　卷一
かるさうに提げゆく鍋の霰哉	寒山落木　卷一
曙や都うもれて雪の底	寒山落木　卷一
熊笹の緑にのこる枯の哉	寒山落木　卷一
廿五年終りの冬生物	寒山落木　卷一
さゝ啼や小藪の隅にさす日影	寒山落木　卷一
馬糞のぬくもりにさく冬牡丹	寒山落木　卷一
車道の一すぢ長し冬木立	寒山落木　卷一
さゝ啼や茂草の奧の松蓮寺	寒山落木　卷一
さむらいは腹さへきると河豚汁	寒山落木　卷一
煤拂のそばまで來たり鷦鷯	寒山落木　卷一
蝉のから碎けたあとや歸り花	寒山落木　卷一
冬の梅裏手の方を咲きにけり	寒山落木　卷一
側イ	寒山落木　卷一
馬糞の中から出たり鷦鷯	寒山落木　卷一
はげそめてやゝ寒げ也冬紅葉	寒山落木　卷一
【千嶋艦覆沒】	寒山落木　卷一
ものゝふの河豚にくはるゝ悲しさよ	寒山落木　卷一
麥蒔やたばねあげたる桑の枝	寒山落木　卷一
ちる紅葉ちらぬ紅葉はまだ青し	寒山落木　卷一
の葉やく寺のうしろや普請小屋	寒山落木　卷一
【議會】	寒山落木　卷一
麥蒔た顏つきもせす二百人	寒山落木　卷一
石原に根強き冬の野菊哉	寒山落木　卷一
冬枯の草の家つゝく烏哉	寒山落木　卷一
薄とも蘆ともつかず枯れにけり	寒山落木　卷一
凩に尻をむけけり離れ鴛	寒山落木　卷一
小石にも魚にもならず海鼠哉	寒山落木　卷一
鮭さげて女のはしる師走哉	寒山落木　卷一
燒芋をくひ／＼千鳥きく夜哉	寒山落木　卷一
千鳥啼く揚荷のあとの月夜哉	寒山落木　卷一
千鳥なく三保の松原風白し	寒山落木　卷一
海原に星のふる夜やむら千鳥	寒山落木　卷一
いそがしく鳴門を渡る千鳥哉	寒山落木　卷一
一村は皆船頭や磯千鳥	寒山落木　卷一
帆柱や二つにわれてむら千鳥曉臺ノ句風早し二つにわれてむら千鳥	寒山落木　卷一
安房へ行き相模へ歸り小夜千鳥	寒山落木　卷一
磯濱や犬追ひ立てるむら千鳥	寒山落木　卷一
文覺をとりまいて鳴く千鳥哉	寒山落木　卷一
こさふくや沖は鯨の汐曇り	寒山落木　卷一
生殘る蛙あはれや枯蓮	寒山落木　卷一
凩にしつかりふさぐ蠣の蓋	寒山落木　卷一
旅籠屋や山見る窓の釣干菜	寒山落木　卷一
冬椿猪首に咲くぞ面白き	寒山落木　卷一
冬枯やいよ／＼松の高うなる	寒山落木　卷一
冬枯に枯葉も見えぬ小笹哉	寒山落木　卷一
天地の氣かすかに通ふ寒の梅	寒山落木　卷一
おろ／＼と一夜に痩せる暖鳥	寒山落木　卷一
ぬく／＼と日向かゝえてつむる春季カ	寒山落木　卷一
明の月白ふの鷹のふみ崩す	寒山落木　卷一
冬枯のうしろに高し不二の山	寒山落木　卷一
立つや	寒山落木　卷一
冬枯の野に學校のふらふ哉	寒山落木　卷一
【松枝町】	寒山落木　卷一
四五枚の木の葉掃き出す廓哉	寒山落木　卷一
東野の紅葉ちりこむ藁火哉	寒山落木　卷一
【松山堀ノ内】	寒山落木　卷一
梟や聞耳立つる三千騎	寒山落木　卷一
鰒釣や沖はあやしき雪模樣	寒山落木　卷一
鷺谷に一本淋し枯尾花	寒山落木　卷一
【松山】	寒山落木　卷一
梅や的場あたりは田舍めく	寒山落木　卷一
枯れてから何千年ぞ扶桑木	寒山落木　卷一
吹き入れし石燈籠の落葉哉	寒山落木　卷一
逃げる氣もつかでとらるゝ海鼠哉	寒山落木　卷一
ほろ／＼と朝霜もゆる落葉哉	寒山落木　卷一
いさり火の消えて音ありむら千鳥	寒山落木　卷一
【少年不及大年】	寒山落木　卷一
年九十河豚を知らずと申けり	寒山落木　卷一
引きあげて一村くもる鯨哉	寒山落木　卷一
【祝】	寒山落木　卷一
とし／＼に根も枯れはてず寒の菊	寒山落木　卷一
わろひれす鷹のすわりし嵐哉	寒山落木　卷一
繪のやうな紅葉ちる也霜の上	寒山落木　卷一
白鷺の泥にふみこむもみち哉	寒山落木　卷一
もみち葉のちる時悲し鹿の聲	寒山落木　卷一
谷窪に落ち重なれるもみち哉	寒山落木　卷一
居風呂に紅葉はねこむ筧哉	寒山落木　卷一
はきよせた箒に殘るもみち哉	寒山落木　卷一
二三枚もみち汲み出す釣瓶哉	寒山落木　卷一
一つかみづゝ爐にくべるもみち哉	寒山落木　卷一
舟流すあとに押しよるもみち哉	寒山落木　卷一
石壇や一つ／＼に散もみち	寒山落木　卷一
【日光】	寒山落木　卷一
神橋は人も通らす散紅葉	寒山落木　卷一
藁屋根にくさりついたる哉	寒山落木　卷一
豆腐屋の豆腐の水にもみち哉	寒山落木　卷一
衣洗ふ脛にひつゝくもみち哉	寒山落木　卷一
裏表きらり／＼とちる紅葉	寒山落木　卷一
梟や杉見あぐれば十日月	寒山落木　卷一
